nota,data,disciplina_ref,pessoa_ref
8.5,2026-02-10,D1,P1
9.0,2026-02-11,D2,P1
7.5,2026-02-12,D3,P1
8.0,2026-02-10,D1,P2
7.0,2026-02-11,D2,P2
9.5,2026-02-12,D3,P2
9.0,2026-02-15,D1,P3
8.5,2026-02-16,D2,P3
7.5,2026-02-17,D4,P3
6.5,2026-02-15,D1,P4
8.0,2026-02-16,D2,P4
7.0,2026-02-17,D3,P4
9.5,2026-02-20,D1,P5
9.0,2026-02-21,D5,P5
8.5,2026-02-22,D6,P5
8.0,2026-02-20,D1,P6
7.5,2026-02-21,D5,P6
9.0,2026-02-22,D6,P6
7.0,2026-02-25,D2,P7
8.5,2026-02-26,D4,P7
9.0,2026-02-27,D7,P7
8.5,2026-02-25,D2,P8
7.5,2026-02-26,D4,P8
8.0,2026-02-27,D7,P8
9.0,2026-03-01,D1,P9
8.5,2026-03-02,D2,P9
7.5,2026-03-03,D5,P9
8.0,2026-03-01,D4,P10
9.0,2026-03-02,D5,P10
8.5,2026-03-03,D7,P10
